iter	Passed	Remaining
0	66	66653
1	67	33528
2	67	22463
3	68	16945
4	68	13619
5	68	11390
6	69	9807
7	69	8653
8	70	7748
9	70	7021
10	71	6420
11	71	5907
12	72	5472
13	72	5105
14	72	4781
15	73	4501
16	73	4255
17	73	4033
18	74	3838
19	74	3662
20	75	3502
21	75	3353
22	75	3219
23	76	3099
24	76	2987
25	76	2881
26	77	2784
27	77	2694
28	78	2613
29	78	2535
30	78	2462
31	79	2396
32	79	2333
33	80	2273
34	80	2216
35	80	2164
36	81	2116
37	81	2068
38	82	2029
39	82	1991
40	83	1953
41	83	1913
42	84	1875
43	84	1843
44	85	1812
45	85	1781
46	86	1750
47	86	1719
48	87	1689
49	87	1660
50	87	1632
51	88	1606
52	88	1579
53	88	1554
54	89	1531
55	89	1508
56	89	1486
57	90	1464
58	90	1443
59	90	1423
60	91	1404
61	91	1386
62	92	1368
63	92	1350
64	92	1333
65	93	1316
66	93	1300
67	93	1282
68	93	1266
69	94	1254
70	95	1243
71	95	1232
72	96	1219
73	96	1206
74	96	1193
75	97	1180
76	97	1167
77	97	1156
78	98	1144
79	98	1132
80	98	1121
81	99	1110
82	99	1099
83	99	1088
84	100	1076
85	100	1066
86	100	1055
87	100	1045
88	101	1035
89	101	1026
90	101	1018
91	102	1011
92	102	1004
93	103	997
94	103	989
95	104	980
96	104	972
97	104	964
98	105	957
99	105	949
100	105	942
101	105	932
102	106	926
103	106	919
104	107	912
105	107	906
106	107	899
107	108	892
108	108	886
109	108	881
110	109	875
111	109	869
112	109	863
113	110	857
114	110	851
115	110	845
116	111	839
117	111	833
118	111	827
119	112	822
120	112	817
121	112	812
122	113	805
123	113	800
124	113	795
125	114	791
126	114	786
127	114	780
128	114	776
129	115	771
130	115	767
131	116	763
132	116	758
133	116	754
134	117	749
135	117	745
136	117	741
137	118	737
138	118	732
139	118	729
140	118	724
141	119	720
142	119	717
143	120	713
144	120	709
145	120	705
146	121	702
147	121	698
148	121	695
149	122	691
150	122	688
151	122	684
152	123	681
153	123	677
154	123	674
155	124	671
156	124	668
157	124	665
158	125	662
159	125	659
160	125	656
161	126	652
162	126	649
163	126	646
164	127	643
165	127	640
166	127	637
167	128	634
168	128	633
169	129	631
170	129	630
171	130	627
172	130	625
173	131	622
174	131	620
175	132	618
176	132	616
177	133	615
178	133	612
179	134	610
180	134	607
181	134	606
182	135	604
183	135	602
184	136	600
185	136	597
186	136	595
187	137	592
188	137	590
189	137	587
190	138	585
191	138	583
192	138	580
193	139	578
194	139	576
195	139	573
196	140	571
197	140	569
198	140	566
199	141	564
200	141	562
201	141	560
202	142	558
203	142	556
204	143	555
205	143	554
206	144	552
207	144	551
208	145	549
209	145	547
210	145	545
211	146	543
212	146	541
213	146	539
214	147	537
215	147	535
216	147	533
217	148	531
218	148	529
219	148	527
220	149	525
221	149	523
222	149	522
223	150	520
224	150	519
225	151	518
226	151	517
227	152	515
228	152	513
229	152	511
230	153	509
231	153	508
232	153	506
233	154	505
234	154	504
235	155	503
236	155	501
237	156	499
238	156	498
239	156	496
240	157	495
241	157	493
242	157	491
243	158	490
244	158	488
245	158	486
246	159	485
247	159	483
248	159	481
249	160	480
250	160	478
251	160	477
252	161	475
253	161	473
254	161	472
255	162	471
256	162	470
257	163	469
258	163	468
259	163	466
260	164	465
261	164	463
262	164	462
263	165	460
264	165	459
265	166	458
266	166	457
267	167	456
268	167	455
269	167	454
270	168	452
271	168	451
272	168	449
273	169	448
274	169	447
275	169	445
276	170	444
277	170	443
278	171	442
279	171	441
280	172	440
281	172	439
282	173	438
283	173	437
284	173	435
285	173	434
286	174	432
287	174	431
288	175	430
289	175	429
290	175	427
291	176	426
292	176	425
293	176	424
294	177	423
295	177	421
296	177	420
297	178	419
298	178	418
299	178	417
300	179	415
301	179	414
302	179	413
303	180	412
304	180	410
305	180	409
306	180	408
307	181	407
308	181	406
309	181	404
310	182	403
311	182	402
312	182	401
313	183	400
314	183	399
315	183	397
316	184	396
317	184	395
318	184	394
319	185	393
320	185	393
321	186	392
322	186	391
323	187	390
324	187	389
325	187	388
326	188	387
327	188	386
328	188	385
329	189	383
330	189	382
331	189	381
332	190	380
333	190	379
334	190	378
335	191	377
336	191	376
337	191	375
338	192	375
339	193	374
340	193	374
341	193	373
342	194	371
343	194	370
344	194	369
345	195	368
346	195	367
347	195	366
348	196	365
349	196	364
350	196	363
351	197	362
352	197	361
353	197	360
354	198	359
355	198	358
356	198	358
357	199	357
358	199	356
359	199	355
360	200	354
361	200	353
362	201	353
363	201	352
364	202	351
365	202	350
366	202	349
367	203	349
368	203	348
369	203	347
370	204	346
371	204	345
372	204	344
373	205	343
374	205	342
375	205	341
376	206	340
377	206	340
378	206	339
379	207	338
380	207	337
381	207	336
382	208	335
383	208	334
384	208	333
385	209	332
386	209	331
387	209	331
388	210	330
389	210	329
390	211	328
391	211	327
392	211	326
393	211	325
394	212	324
395	212	324
396	212	323
397	213	322
398	213	321
399	213	320
400	214	319
401	214	318
402	214	318
403	215	317
404	215	316
405	215	315
406	215	314
407	216	313
408	216	312
409	216	311
410	217	311
411	217	310
412	217	309
413	218	308
414	218	307
415	218	306
416	218	305
417	219	305
418	219	304
419	219	303
420	220	302
421	220	301
422	220	301
423	220	300
424	221	299
425	221	298
426	221	297
427	222	296
428	222	296
429	222	295
430	222	294
431	223	293
432	223	292
433	223	292
434	224	291
435	224	290
436	224	289
437	225	288
438	225	288
439	225	287
440	225	286
441	226	285
442	226	285
443	227	284
444	227	283
445	227	282
446	227	281
447	228	281
448	228	280
449	228	279
450	229	278
451	229	278
452	229	277
453	230	276
454	230	275
455	230	275
456	231	274
457	231	273
458	231	273
459	232	272
460	232	271
461	232	271
462	233	270
463	233	269
464	234	269
465	234	268
466	234	267
467	234	267
468	235	266
469	235	265
470	235	264
471	236	264
472	236	263
473	236	262
474	237	262
475	237	261
476	237	260
477	237	259
478	238	259
479	238	258
480	238	257
481	239	256
482	239	256
483	239	255
484	240	254
485	240	254
486	240	253
487	241	252
488	241	252
489	241	251
490	242	250
491	242	250
492	242	249
493	243	248
494	243	248
495	243	247
496	244	247
497	244	246
498	244	245
499	245	245
500	245	244
501	245	243
502	246	243
503	246	242
504	246	241
505	247	241
506	247	240
507	247	239
508	248	239
509	248	238
510	248	237
511	249	237
512	249	236
513	249	235
514	249	235
515	250	234
516	250	234
517	250	233
518	251	232
519	251	232
520	251	231
521	252	230
522	252	230
523	253	229
524	253	229
525	253	228
526	253	227
527	254	227
528	254	226
